timestamp,datetime,open,high,low,close,volume
1693547400,2023-09-01 05:50:00,1649.21,1649.33,1647.98,1648.43,84.24776
1693547700,2023-09-01 05:55:00,1648.44,1648.59,1647.81,1647.82,91.49428653
1693548000,2023-09-01 06:00:00,1647.82,1649.21,1647.8,1648.62,106.33020438
1693548300,2023-09-01 06:05:00,1648.61,1648.93,1648.29,1648.34,30.79775526
1693548600,2023-09-01 06:10:00,1648.34,1649.17,1648.33,1649.15,39.19633645
1693548900,2023-09-01 06:15:00,1649.15,1649.19,1647.85,1647.9,41.1559511
1693549200,2023-09-01 06:20:00,1647.9,1648.53,1647.36,1648.2,67.18705772
1693549500,2023-09-01 06:25:00,1648.19,1648.21,1646.39,1646.84,55.60369388
1693549800,2023-09-01 06:30:00,1646.84,1647.09,1645.59,1646.06,247.52374864
1693550100,2023-09-01 06:35:00,1646.07,1646.23,1643.92,1644.85,388.64382191
1693550400,2023-09-01 06:40:00,1644.7,1647.06,1644.7,1646.59,160.09711969
1693550700,2023-09-01 06:45:00,1646.59,1646.93,1645.84,1646.27,98.52818939
1693551000,2023-09-01 06:50:00,1646.27,1646.28,1643.67,1644.44,110.1223008
1693551300,2023-09-01 06:55:00,1644.45,1645.17,1643.67,1644.31,173.00872752
1693551600,2023-09-01 07:00:00,1644.35,1645.24,1644.13,1645.06,52.49204006
1693551900,2023-09-01 07:05:00,1645.05,1645.29,1644.27,1644.28,76.45756136
1693552200,2023-09-01 07:10:00,1644.46,1645.27,1644.45,1645.03,95.67484138
1693552500,2023-09-01 07:15:00,1645.08,1646.06,1645.07,1645.22,83.11067696
1693552800,2023-09-01 07:20:00,1645.22,1645.68,1642.94,1643.65,584.01962312
1693553100,2023-09-01 07:25:00,1643.6,1644.69,1643.6,1644.25,69.57550273
1693553400,2023-09-01 07:30:00,1644.24,1645.97,1644.24,1645.91,84.834672
1693553700,2023-09-01 07:35:00,1645.92,1646.17,1644.94,1644.96,64.39940441
1693554000,2023-09-01 07:40:00,1644.96,1645.14,1644.36,1644.99,55.31977928
1693554300,2023-09-01 07:45:00,1644.98,1646.1,1644.98,1645.82,91.52085866
1693554600,2023-09-01 07:50:00,1645.85,1646.04,1645.45,1645.82,106.54312366
1693554900,2023-09-01 07:55:00,1645.82,1645.82,1645.51,1645.69,92.87418652
1693555200,2023-09-01 08:00:00,1645.69,1647.47,1645.68,1647.2,301.41374422
1693555500,2023-09-01 08:05:00,1647.19,1647.83,1646.26,1646.35,309.48433044
1693555800,2023-09-01 08:10:00,1646.34,1646.34,1645.88,1645.89,49.36042016
1693556100,2023-09-01 08:15:00,1645.89,1645.89,1644.16,1644.16,193.09782035
1693556400,2023-09-01 08:20:00,1644.16,1645.22,1643.91,1644.13,131.01260585
1693556700,2023-09-01 08:25:00,1644.12,1644.96,1643.3,1644.37,318.05568677
1693557000,2023-09-01 08:30:00,1644.39,1645.71,1643.85,1645.54,118.6448442
1693557300,2023-09-01 08:35:00,1645.53,1646.59,1644.02,1644.05,350.89179903
1693557600,2023-09-01 08:40:00,1644.32,1644.49,1643.32,1643.93,377.41409776
1693557900,2023-09-01 08:45:00,1643.93,1643.98,1643.22,1643.38,211.42672836
1693558200,2023-09-01 08:50:00,1643.37,1644.17,1642.65,1643.51,501.15236797
1693558500,2023-09-01 08:55:00,1643.75,1643.76,1642.42,1643.23,699.5990392
1693558800,2023-09-01 09:00:00,1643.23,1643.23,1641.59,1642.07,504.4775099
1693559100,2023-09-01 09:05:00,1642.09,1644.36,1641.36,1644.23,331.01255078
1693559400,2023-09-01 09:10:00,1644.24,1645.31,1644.24,1645.05,97.98992584
